키,몸무게,체지방율,성별
1630.0,47.0,26.1,여
1535.0,49.9,30.4,여
1575.0,50.9,33.0,여
1549.0,67.9,38.9,여
1618.0,63.5,30.5,여
1520.0,56.6,40.8,여
1641.0,62.5,32.2,여
1606.0,56.7,25.3,여
1660.0,74.6,41.6,여
1688.0,52.5,29.3,여
1597.0,66.3,36.3,여
1505.0,48.2,38.7,여
1518.0,59.4,39.0,여
1626.0,65.1,26.9,여
1558.0,53.8,32.2,여
1536.0,53.7,35.4,여
1553.0,60.2,32.0,여
1538.0,48.6,26.2,여
1568.0,58.2,33.4,여
1496.0,75.1,41.3,여
1544.0,42.7,19.7,여
1470.0,56.2,31.2,여
1654.0,54.6,18.9,여
1561.0,51.0,28.5,여
1559.0,51.8,26.5,여
1594.0,59.1,35.2,여
1605.0,54.9,27.2,여
1527.0,41.5,22.2,여
1510.0,67.0,38.7,여
1506.0,62.3,32.9,여
1600.0,75.6,35.7,여
1704.0,66.7,27.3,여
1640.0,50.5,30.8,여
1600.0,60.3,27.2,여
1581.0,47.3,24.0,여
1462.0,53.5,31.4,여
1630.0,52.6,32.1,여
1540.0,57.1,30.9,여
1531.0,70.1,40.9,여
1669.0,85.6,33.2,여
1627.0,62.1,31.4,여
1621.0,53.2,27.5,여
1565.0,65.5,38.4,여
1580.0,49.7,39.3,여
1570.0,67.3,39.7,여
1530.0,49.7,51.2,여
1552.0,52.4,28.5,여
1567.0,59.2,29.4,여
1678.0,58.5,29.5,여
1476.0,47.6,30.3,여
1575.0,49.5,29.0,여
1732.0,60.3,27.7,여
1573.0,57.7,35.6,여
1495.0,50.4,28.7,여
1529.0,61.1,37.5,여
1570.0,51.8,28.3,여
1477.0,40.0,24.0,여
1522.0,52.8,35.6,여
1499.0,61.8,38.1,여
1569.0,49.1,29.3,여
1547.0,47.8,18.9,여
1486.0,68.4,43.7,여
1570.0,48.5,21.6,여
1620.0,65.8,34.5,여
1630.0,47.4,20.4,여
1535.0,47.7,25.1,여
1646.0,57.9,24.5,여
1601.0,52.7,28.5,여
1675.0,67.2,32.4,여
1554.0,52.0,31.2,여
1632.0,52.2,28.6,여
1662.0,76.6,36.3,여
1505.0,46.4,28.8,여
1621.0,56.8,23.9,여
1505.0,54.0,34.9,여
1610.0,69.4,32.4,여
1604.0,55.7,26.8,여
1519.0,70.5,36.9,여
1515.0,62.2,36.0,여
1635.0,60.8,27.9,여
1560.0,51.2,25.9,여
1619.0,54.9,20.9,여
1557.0,52.4,34.8,여
1494.0,56.0,35.2,여
1628.0,59.3,26.1,여
1552.0,49.7,32.7,여
1611.0,67.9,33.4,여
1501.0,63.9,45.5,여
1660.0,63.3,26.6,여
1629.0,70.2,28.9,여
1605.0,56.0,30.0,여
1523.0,63.6,44.0,여
1437.0,50.3,29.9,여
1480.0,56.8,27.3,여
1443.0,48.2,33.3,여
1580.0,61.9,34.3,여
1611.0,53.7,22.5,여
1614.0,50.1,30.7,여
1597.0,63.5,32.3,여
1686.0,54.2,19.4,여
1618.0,58.7,33.0,여
1515.0,46.0,31.4,여
1650.0,59.4,34.0,여
1606.0,55.7,32.5,여
1692.0,52.4,28.4,여
1604.0,80.5,42.6,여
1497.0,54.0,37.3,여
1483.0,60.1,40.8,여
1500.0,61.9,35.5,여
1570.0,60.4,35.4,여
1685.0,62.2,26.5,여
1547.0,52.3,30.9,여
1568.0,65.3,25.5,남
1607.0,65.1,27.7,남
1745.0,104.9,26.9,남
1665.0,52.3,9.9,남
1580.0,56.6,18.0,남
1860.0,88.0,19.0,남
1803.0,56.5,11.6,남
1730.0,77.3,22.5,남
1606.0,75.2,35.8,남
1646.0,57.3,20.0,남
1660.0,71.1,24.8,남
1720.0,57.5,12.4,남
1690.0,70.5,31.8,남
1674.0,69.8,20.7,남
1640.0,81.5,29.3,남
1602.0,59.2,25.2,남
1585.0,63.2,29.0,남
1636.0,77.1,22.3,남
1796.0,87.4,22.8,남
1692.0,78.1,42.6,남
1627.0,91.3,36.1,남
1693.0,70.8,20.8,남
1610.0,74.0,27.6,남
1810.0,77.0,18.6,남
1824.0,76.0,17.2,남
1675.0,76.7,28.7,남
1700.0,71.7,24.1,남
1775.0,85.9,32.2,남
1740.0,61.1,14.8,남
1691.0,92.2,36.3,남
1668.0,70.8,20.4,남
1751.0,74.4,18.3,남
1674.0,56.4,13.2,남
1708.0,61.8,18.2,남
1725.0,53.3,14.3,남
1715.0,71.7,20.0,남
1698.0,56.1,11.2,남
1696.0,63.4,14.3,남
1821.0,88.8,31.5,남
1714.0,99.8,38.5,남
1714.0,67.5,10.2,남
1695.0,77.4,20.0,남
1723.0,74.3,16.7,남
1706.0,51.2,12.6,남
1780.0,67.6,19.9,남
1761.0,75.7,26.2,남
1672.0,58.4,22.9,남
1775.0,108.6,31.9,남
1765.0,88.1,29.7,남
1755.0,73.8,20.7,남
1727.0,63.1,22.9,남
1749.0,91.0,32.8,남
1744.0,65.3,22.7,남
1725.0,80.9,22.9,남
1835.0,74.6,10.5,남
1728.0,63.8,12.9,남
1715.0,61.0,17.5,남
1679.0,56.8,12.2,남
1670.0,63.9,17.8,남
1688.0,75.0,29.5,남
1717.0,74.3,22.0,남
1805.0,69.7,8.2,남
1664.0,66.8,21.8,남
1695.0,77.8,27.6,남
1710.0,75.9,23.1,남
1698.0,70.9,20.8,남
1803.0,78.1,8.4,남
1727.0,90.4,29.5,남
1777.0,80.1,23.9,남
1751.0,72.5,24.1,남
1809.0,71.9,24.7,남
1712.0,48.0,16.0,남
1681.0,72.7,18.3,남
1665.0,61.8,18.3,남
1698.0,73.5,22.4,남
1789.0,82.5,23.0,남
1637.0,53.0,11.3,남
1825.0,84.5,30.5,남
1811.0,65.3,11.6,남
1718.0,78.8,23.7,남
1690.0,83.0,28.9,남
1686.0,66.2,22.0,남
1681.0,65.7,18.0,남
1776.0,75.2,24.2,남
1660.0,71.6,23.6,남
1785.0,79.3,24.7,남
1819.0,72.3,16.8,남
1568.0,63.1,29.4,남
1733.0,63.6,15.0,남
1780.0,61.0,17.8,남
1675.0,69.3,23.3,남
1640.0,60.9,19.6,남
1850.0,83.9,15.7,남
1680.0,68.7,35.0,남
1577.0,74.8,34.3,남
1739.0,72.6,17.8,남
1823.0,58.5,10.6,남
1625.0,64.9,24.9,남
1713.0,66.1,21.0,남
1684.0,94.5,38.5,남
1810.0,71.3,11.5,남
1805.0,63.4,21.4,남
1716.0,70.6,21.3,남
1700.0,75.2,19.8,남
1755.0,88.2,21.5,남
1733.0,70.2,18.0,남
1610.0,66.3,21.7,남
1739.0,80.9,24.4,남
1640.0,61.7,20.5,남
1770.0,64.8,9.4,남
1685.0,66.8,13.7,남
1728.0,72.5,18.9,남
1451.0,48.7,32.1,여
1454.0,40.1,29.4,여
1523.0,60.1,34.9,여
1593.0,61.2,35.5,여
1617.0,57.9,30.7,여
1611.0,47.1,26.5,여
1665.0,63.9,32.8,여
1604.0,70.5,37.8,여
1515.0,52.1,34.7,여
1520.0,71.3,39.2,여
1580.0,62.8,34.9,여
1403.0,53.2,36.1,여
1564.0,65.5,37.3,여
1654.0,57.2,25.8,여
1537.0,57.3,29.3,여
1585.0,67.4,8.1,여
1576.0,57.8,42.7,여
1510.0,45.3,30.8,여
1599.0,55.9,29.2,여
1582.0,57.5,31.1,여
1594.0,75.4,41.8,여
1661.0,86.6,40.7,여
1644.0,49.8,34.2,여
1546.0,47.8,23.4,여
1549.0,57.6,33.4,여
1543.0,55.9,33.9,여
1640.0,56.1,25.5,여
1624.0,48.1,24.1,여
1638.0,49.8,27.3,여
1573.0,47.5,30.5,여
1614.0,46.3,29.7,여
1515.0,72.8,40.1,여
1495.0,53.2,33.3,여
1470.0,59.4,3.8,여
1660.0,78.6,43.4,여
1595.0,78.6,43.4,여
1528.0,65.7,41.3,여
1533.0,51.6,32.3,여
1690.0,60.5,30.4,여
