키,몸무게,목둘레,허리둘레,BMI,체지방율,기초대사량,기초대사량평가,머리수직길이,머리두께,머리너비,발너비,발직선길이,나이,성별
1600.0,61.4,323.0,705.0,23.984374999999996,29.4,1307.0,표준,228.0,184.0,143.0,96.0,235.0,16,여
1783.0,76.3,365.0,840.0,24.00058633149307,23.1,1638.0,표준,248.0,195.0,165.0,102.0,263.0,17,남
1801.0,80.4,375.0,830.0,24.787265758026344,21.1,1740.0,표준,235.0,175.0,147.0,100.0,265.0,17,남
1830.0,68.4,375.0,740.0,20.42461703843053,4.6,1779.0,표준이상,222.0,194.0,158.0,103.0,281.0,17,남
1745.0,61.4,360.0,735.0,20.164038062084874,15.0,1498.0,표준,232.0,187.0,159.0,92.0,256.0,17,남
1717.0,72.3,377.0,860.0,24.524361374436115,21.4,1598.0,표준,223.0,181.0,160.0,98.0,243.0,17,남
1760.0,62.6,337.0,690.0,20.209194214876035,11.9,1561.0,표준,231.0,190.0,153.0,103.0,268.0,17,남
1725.0,72.1,390.0,835.0,24.23020373871035,20.8,1604.0,표준,252.0,197.0,164.0,95.0,250.0,17,남
1702.0,59.8,335.0,692.0,20.643440149903135,13.4,1488.0,표준,235.0,175.0,154.0,95.0,245.0,17,남
1750.0,64.8,360.0,710.0,21.159183673469386,13.4,1583.0,표준,230.0,191.0,164.0,102.0,248.0,16,남
1678.0,66.0,363.0,717.0,23.440130355537057,19.2,1522.0,표준,230.0,185.0,153.0,98.0,241.0,17,남
1696.0,61.3,355.0,725.0,21.31124288002848,16.9,1471.0,표준,218.0,180.0,160.0,89.0,253.0,17,남
1788.0,60.2,345.0,685.0,18.830483111371358,11.1,1526.0,표준,227.0,187.0,164.0,96.0,253.0,17,남
1705.0,53.2,343.0,625.0,18.300496211762884,8.6,1420.0,표준,236.0,186.0,156.0,93.0,248.0,17,남
1744.0,59.3,340.0,660.0,19.49672796902618,13.2,1481.0,표준,231.0,186.0,160.0,97.0,244.0,17,남
1739.0,67.0,355.0,780.0,22.155198155100273,16.3,1581.0,표준,236.0,185.0,152.0,101.0,261.0,17,남
1610.0,46.8,320.0,655.0,18.05485899463755,12.7,1253.0,표준,243.0,185.0,154.0,88.0,256.0,17,남
1851.0,101.7,415.0,985.0,29.683022099403978,25.0,2017.0,표준이하,256.0,194.0,164.0,115.0,296.0,17,남
1690.0,52.1,335.0,680.0,18.241658205244917,12.2,1358.0,표준,241.0,190.0,162.0,98.0,267.0,17,남
1805.0,67.8,360.0,733.0,20.81015339047429,10.2,1685.0,표준,251.0,185.0,164.0,112.0,275.0,17,남
1725.0,65.3,364.0,712.0,21.944969544213397,4.7,1714.0,표준이상,252.0,190.0,155.0,94.0,253.0,17,남
1767.0,70.1,367.0,770.0,22.451477105418487,17.9,1613.0,표준,250.0,193.0,166.0,105.0,260.0,16,남
1685.0,53.0,348.0,680.0,18.667065836627952,10.5,1395.0,표준,240.0,184.0,163.0,101.0,228.0,17,남
1735.0,57.7,360.0,680.0,19.168002391847786,11.4,1475.0,표준,244.0,182.0,160.0,93.0,254.0,17,남
1745.0,50.7,327.0,640.0,16.65010960501145,9.5,1361.0,표준,240.0,190.0,149.0,95.0,253.0,17,남
1715.0,63.4,365.0,695.0,21.55564433186852,11.3,1584.0,표준,246.0,189.0,181.0,105.0,254.0,17,남
